Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G12635,2022,ABGS0006283,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.32093,518.30805,12944.59337
G12636,2022,BIVOUAC B-099-H/094-I-08,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,160.9721,186.78093,12998.10076
G12636,2022,BIVOUAC B-099-H/094-I-08,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,0.20959,319.48855,12998.10076
G12636,2022,BIVOUAC B-099-H/094-I-08,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,7625.5627,8388.3801,12998.10076
G12636,2022,BIVOUAC B-099-H/094-I-08,British Columbia,Oil and gas extraction (except oil sands),Venting / Évacuation,2.69186,4103.45118,12998.10076
G12637,2022,South Cecil 08-15-084-08 W6M,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,3356.3389,4048.00319,13039.90961
G12637,2022,South Cecil 08-15-084-08 W6M,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,7124.98541,8665.36037,13039.90961
G12637,2022,South Cecil 08-15-084-08 W6M,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,303.57317,326.54605,13039.90961
G12638,2022,Doe Gas Plant,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,109.488,124.12075,13048.08704
G12638,2022,Doe Gas Plant,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,11925.406,12923.96629,13048.08704
G12639,2022,ABCS0015365,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,9889.90505,13075.65741,13075.65741
G12640,2022,Montney Drilling & Completions (01-31),British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,12338.21326,13114.18721,13114.18721
G12641,2022,Houston Pellet Limited Partnership,British Columbia,All Other Miscellaneous Wood Product Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,12620.5,12685.62008,13267.19929
G12641,2022,Houston Pellet Limited Partnership,British Columbia,All Other Miscellaneous Wood Product Manufacturing,On-site Transportation / Transport sur le site,569.67083,581.57921,13267.19929
G12642,2022,Smithers Pellet Limited Partnership,British Columbia,All Other Miscellaneous Wood Product Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,12986.2,13053.20624,13400.11763
G12642,2022,Smithers Pellet Limited Partnership,British Columbia,All Other Miscellaneous Wood Product Manufacturing,On-site Transportation / Transport sur le site,339.91407,346.91139,13400.11763
G12643,2022,Williams Lake,British Columbia,All Other Miscellaneous Wood Product Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,12622.155,12687.28387,13626.14416
G12643,2022,Williams Lake,British Columbia,All Other Miscellaneous Wood Product Manufacturing,On-site Transportation / Transport sur le site,918.78492,938.86029,13626.14416
G12644,2022,Portage la Prairie Regional Landfill,Manitoba,Waste Treatment and Disposal,Stationary Fuel Combustion / Combustion stationnaire de combustibles,2.558,2.56638,13648.02116
G12644,2022,Portage la Prairie Regional Landfill,Manitoba,Waste Treatment and Disposal,On-site Transportation / Transport sur le site,87.459,87.70978,13648.02116
G12644,2022,Portage la Prairie Regional Landfill,Manitoba,Waste Treatment and Disposal,Waste / Déchets,0,13557.745,13648.02116
G12645,2022,04-26-77-13-W6M,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,222.2906,452.3973,13806.12898
