Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G10001,2023,Division Alma,Quebec,Mechanical Pulp Mills,Stationary Fuel Combustion / Combustion stationnaire de combustibles,35489.21,35671.882,52135.281
G10001,2023,Division Alma,Quebec,Mechanical Pulp Mills,On-site Transportation / Transport sur le site,220.28,222.279,52135.281
G10001,2023,Division Alma,Quebec,Mechanical Pulp Mills,Waste / Déchets,0,16241.12,52135.281
G10003,2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Leakage / Fuites,2.035,2930.079,257499.354
G10003,2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Stationary Fuel Combustion / Combustion stationnaire de combustibles,243458.838,245645.489,257499.354
G10003,2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Venting / Évacuation,5.982,8923.786,257499.354
G10004,2023,Kingston CoGen,Ontario,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,934.2516,946.317909,946.317909
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Flaring / Torchage,13445.05,14095.635,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Leakage / Fuites,0.3618,730.0418,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,728769.047,732587.1005,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Industrial Processes / Procédés industriels,255574.2,258611.63,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,On-site Transportation / Transport sur le site,3576.613,3662.728043,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Venting / Évacuation,13965.31,70065.55,1079936.645
G10006,2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Wastewater / Eaux usées,0,183.96,1079936.645
G10007,2023,Alberta Envirofuels,Alberta,Petrochemical Manufacturing,Flaring / Torchage,1896.0167,2100.38337,345481.4954
G10007,2023,Alberta Envirofuels,Alberta,Petrochemical Manufacturing,Leakage / Fuites,459.699,494.027,345481.4954
G10007,2023,Alberta Envirofuels,Alberta,Petrochemical Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,340917.3198,342862.995,345481.4954
G10007,2023,Alberta Envirofuels,Alberta,Petrochemical Manufacturing,On-site Transportation / Transport sur le site,23.504,24.09,345481.4954
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,Pipeline Transportation of Natural Gas,Leakage / Fuites,1.130104,2742.450196,542567.7847
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,Pipeline Transportation of Natural Gas,Stationary Fuel Combustion / Combustion stationnaire de combustibles,522099.4791,526153.7668,542567.7847
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,Pipeline Transportation of Natural Gas,Venting / Évacuation,4.265198,13671.56763,542567.7847
G10009,2023,Alberta-Pacific Forest Industries Inc.,Alberta,Chemical Pulp Mills,Stationary Fuel Combustion / Combustion stationnaire de combustibles,151900.92,161242.3813,169586.0863
G10009,2023,Alberta-Pacific Forest Industries Inc.,Alberta,Chemical Pulp Mills,Industrial Processes / Procédés industriels,0,54.8216,169586.0863
G10009,2023,Alberta-Pacific Forest Industries Inc.,Alberta,Chemical Pulp Mills,On-site Transportation / Transport sur le site,4329.693,4420.4034,169586.0863
G10009,2023,Alberta-Pacific Forest Industries Inc.,Alberta,Chemical Pulp Mills,Waste / Déchets,0,3868.48,169586.0863
G10010,2023,Rio Tinto Alcan Inc.,British Columbia,Primary Production of Alumina and Aluminum,Stationary Fuel Combustion / Combustion stationnaire de combustibles,56847.628,57144.253,809153.2871
G10010,2023,Rio Tinto Alcan Inc.,British Columbia,Primary Production of Alumina and Aluminum,Industrial Processes / Procédés industriels,647615,744025.68,809153.2871
G10010,2023,Rio Tinto Alcan Inc.,British Columbia,Primary Production of Alumina and Aluminum,On-site Transportation / Transport sur le site,7922,7983.35414,809153.2871
G10011,2023,Algoma Steel Inc,Ontario,Iron and Steel Mills and Ferro-Alloy Manufacturing,Flaring / Torchage,402.2,436.6533,4292166.215
G10011,2023,Algoma Steel Inc,Ontario,Iron and Steel Mills and Ferro-Alloy Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,977163.917,981262.4295,4292166.215
G10011,2023,Algoma Steel Inc,Ontario,Iron and Steel Mills and Ferro-Alloy Manufacturing,Industrial Processes / Procédés industriels,3276798.403,3287418.803,4292166.215
G10011,2023,Algoma Steel Inc,Ontario,Iron and Steel Mills and Ferro-Alloy Manufacturing,On-site Transportation / Transport sur le site,22471.58,23048.33,4292166.215
G10012,2023,Aluminerie Alouette inc.,Quebec,Primary Production of Alumina and Aluminum,Stationary Fuel Combustion / Combustion stationnaire de combustibles,49900.2,50175.5396,1108309.929
G10012,2023,Aluminerie Alouette inc.,Quebec,Primary Production of Alumina and Aluminum,Industrial Processes / Procédés industriels,1004138.9,1053820.963,1108309.929
G10012,2023,Aluminerie Alouette inc.,Quebec,Primary Production of Alumina and Aluminum,On-site Transportation / Transport sur le site,3916.6,4313.4268,1108309.929
G10013,2023,Aluminerie de Baie-Comeau,Quebec,Primary Production of Alumina and Aluminum,Stationary Fuel Combustion / Combustion stationnaire de combustibles,26864,27014.909,537948.072
G10013,2023,Aluminerie de Baie-Comeau,Quebec,Primary Production of Alumina and Aluminum,Industrial Processes / Procédés industriels,492312,508182.622,537948.072
G10013,2023,Aluminerie de Baie-Comeau,Quebec,Primary Production of Alumina and Aluminum,On-site Transportation / Transport sur le site,2681,2750.541,537948.072
G10014,2023,Aluminerie de Bécancour inc.,Quebec,Primary Production of Alumina and Aluminum,Stationary Fuel Combustion / Combustion stationnaire de combustibles,60447,60761.778,819812.9182
G10014,2023,Aluminerie de Bécancour inc.,Quebec,Primary Production of Alumina and Aluminum,Industrial Processes / Procédés industriels,734647.1411,755527.407,819812.9182
G10014,2023,Aluminerie de Bécancour inc.,Quebec,Primary Production of Alumina and Aluminum,On-site Transportation / Transport sur le site,3184.9043,3523.7332,819812.9182
G10015,2023,ATCO Pipelines - Transmission System,Alberta,Pipeline Transportation of Natural Gas,Flaring / Torchage,1204.3281,1419.0291,103348.1209
G10015,2023,ATCO Pipelines - Transmission System,Alberta,Pipeline Transportation of Natural Gas,Leakage / Fuites,8.9671,13793.0451,103348.1209
G10015,2023,ATCO Pipelines - Transmission System,Alberta,Pipeline Transportation of Natural Gas,Stationary Fuel Combustion / Combustion stationnaire de combustibles,64804.3068,72804.5509,103348.1209
G10015,2023,ATCO Pipelines - Transmission System,Alberta,Pipeline Transportation of Natural Gas,Industrial Processes / Procédés industriels,0,25.0055,103348.1209
G10015,2023,ATCO Pipelines - Transmission System,Alberta,Pipeline Transportation of Natural Gas,Venting / Évacuation,10.4459,15306.4903,103348.1209
G10016,2023,Atikokan Generating Station,Ontario,Other Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,16543.93,18340.56,18340.56
G10018,2023,Battle River Generating Station,Alberta,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,903772.867,905536.7085,905641.4968
G10018,2023,Battle River Generating Station,Alberta,Fossil-Fuel Electric Power Generation,On-site Transportation / Transport sur le site,70.15,70.435,905641.4968
G10018,2023,Battle River Generating Station,Alberta,Fossil-Fuel Electric Power Generation,Venting / Évacuation,0.0533,34.3533,905641.4968
G10020,2023,Bayside Power,New Brunswick,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,557181.6533,564851.5445,564855.0359
G10020,2023,Bayside Power,New Brunswick,Fossil-Fuel Electric Power Generation,On-site Transportation / Transport sur le site,3.3992,3.4914,564855.0359
G10022,2023,Belledune Generating Station,New Brunswick,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,1580059.057,1586157.133,1586757.702
G10022,2023,Belledune Generating Station,New Brunswick,Fossil-Fuel Electric Power Generation,On-site Transportation / Transport sur le site,582.967,600.5697,1586757.702
G10024,2023,Boundary Dam Power Station,Saskatchewan,Fossil-Fuel Electric Power Generation,Leakage / Fuites,10.223693,2986.137977,3428677.424
G10024,2023,Boundary Dam Power Station,Saskatchewan,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,3398985.269,3425690.884,3428677.424
G10024,2023,Boundary Dam Power Station,Saskatchewan,Fossil-Fuel Electric Power Generation,Venting / Évacuation,0.4023,0.4023,3428677.424
G10025,2023,Thunder Bay Operations,Ontario,Chemical Pulp Mills,Stationary Fuel Combustion / Combustion stationnaire de combustibles,179663.8522,189039.615,193143.9347
G10025,2023,Thunder Bay Operations,Ontario,Chemical Pulp Mills,Industrial Processes / Procédés industriels,1127.696,1127.696,193143.9347
G10025,2023,Thunder Bay Operations,Ontario,Chemical Pulp Mills,On-site Transportation / Transport sur le site,2944.46,2976.62379,193143.9347
G10026,2023,Brady Road Resource Management Facility,Manitoba,Waste Treatment and Disposal,Waste / Déchets,0,499489.984,499489.984
G10027,2023,Brampton Assembly Plant,Ontario,Automobile and Light-Duty Motor Vehicle Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,62271.3072,62590.3539,62845.13204
G10027,2023,Brampton Assembly Plant,Ontario,Automobile and Light-Duty Motor Vehicle Manufacturing,On-site Transportation / Transport sur le site,254.11185,254.778135,62845.13204
G10028,2023,Brandon Generating Station,Manitoba,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,45084.5423,45701.23757,45729.90757
G10028,2023,Brandon Generating Station,Manitoba,Fossil-Fuel Electric Power Generation,Industrial Processes / Procédés industriels,0,28.67,45729.90757
G10029,2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,17460.01649,18123.58951,131431.6027
G10029,2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,2.532559,1656.671983,131431.6027
G10029,2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,104397.5754,110585.1818,131431.6027
G10029,2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,63.768832,63.991977,131431.6027
G10029,2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.807391,1002.119451,131431.6027
G10029,2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),Wastewater / Eaux usées,0,0.04802,131431.6027
G10030,2023,Brazeau River Gas Plant,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,5970.0304,6779.06607,46865.12367
G10030,2023,Brazeau River Gas Plant,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.96307,568.71123,46865.12367
G10030,2023,Brazeau River Gas Plant,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,38493.83807,38959.26934,46865.12367
G10030,2023,Brazeau River Gas Plant,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,62.778,63.155,46865.12367
G10030,2023,Brazeau River Gas Plant,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.39555,494.92203,46865.12367
G10031,2023,Brighton Beach Power,Ontario,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,301391.0196,305747.6762,305749.727
G10031,2023,Brighton Beach Power,Ontario,Fossil-Fuel Electric Power Generation,On-site Transportation / Transport sur le site,2.0199,2.050815,305749.727
G10032,2023,Brock West Landfill,Ontario,Waste Treatment and Disposal,Flaring / Torchage,0,456.084,55109.2104
G10032,2023,Brock West Landfill,Ontario,Waste Treatment and Disposal,Stationary Fuel Combustion / Combustion stationnaire de combustibles,0.141,0.141433,55109.2104
G10032,2023,Brock West Landfill,Ontario,Waste Treatment and Disposal,On-site Transportation / Transport sur le site,10.852,11.600965,55109.2104
G10032,2023,Brock West Landfill,Ontario,Waste Treatment and Disposal,Waste / Déchets,0,54641.384,55109.2104
G10033,2023,Brookfield Cement Plant,Nova Scotia,Cement Manufacturing,Leakage / Fuites,0,1341.2,213426.0789
G10033,2023,Brookfield Cement Plant,Nova Scotia,Cement Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,90892.55,91041.3409,213426.0789
G10033,2023,Brookfield Cement Plant,Nova Scotia,Cement Manufacturing,Industrial Processes / Procédés industriels,119490,119490,213426.0789
G10033,2023,Brookfield Cement Plant,Nova Scotia,Cement Manufacturing,On-site Transportation / Transport sur le site,1545.57,1553.538,213426.0789
G10036,2023,Burnaby Refinery,British Columbia,Petroleum Refineries,Flaring / Torchage,20548.7766,21985.3131,409054.9235
G10036,2023,Burnaby Refinery,British Columbia,Petroleum Refineries,Leakage / Fuites,0,358.414,409054.9235
G10036,2023,Burnaby Refinery,British Columbia,Petroleum Refineries,Stationary Fuel Combustion / Combustion stationnaire de combustibles,263144.893,263919.8805,409054.9235
G10036,2023,Burnaby Refinery,British Columbia,Petroleum Refineries,On-site Transportation / Transport sur le site,413.4478,423.8553,409054.9235
G10036,2023,Burnaby Refinery,British Columbia,Petroleum Refineries,Venting / Évacuation,119854.1359,120162.7706,409054.9235
G10036,2023,Burnaby Refinery,British Columbia,Petroleum Refineries,Wastewater / Eaux usées,0,2204.69,409054.9235
G10038,2023,"TransCanada Pipeline, Saskatchewan",Saskatchewan,Pipeline Transportation of Natural Gas,Flaring / Torchage,478.074,576.19163,956904.8162
G10038,2023,"TransCanada Pipeline, Saskatchewan",Saskatchewan,Pipeline Transportation of Natural Gas,Leakage / Fuites,7.06184,12246.25468,956904.8162
G10038,2023,"TransCanada Pipeline, Saskatchewan",Saskatchewan,Pipeline Transportation of Natural Gas,Stationary Fuel Combustion / Combustion stationnaire de combustibles,882498.7596,890317.1262,956904.8162
G10038,2023,"TransCanada Pipeline, Saskatchewan",Saskatchewan,Pipeline Transportation of Natural Gas,Venting / Évacuation,30.74333,53765.24373,956904.8162
G10039,2023,Cabot Canada Limited,Ontario,All Other Basic Inorganic Chemical Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,3230.073,3246.7147,230636.2394
G10039,2023,Cabot Canada Limited,Ontario,All Other Basic Inorganic Chemical Manufacturing,Industrial Processes / Procédés industriels,227252.0296,227252.0296,230636.2394
G10039,2023,Cabot Canada Limited,Ontario,All Other Basic Inorganic Chemical Manufacturing,On-site Transportation / Transport sur le site,134.1845,137.4951,230636.2394
G10040,2023,Calgary Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,834143.3372,839954.7175,839955.4356
G10040,2023,Calgary Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Industrial Processes / Procédés industriels,0,0.065136,839955.4356
G10040,2023,Calgary Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Venting / Évacuation,0.0006,0.653,839955.4356
G10042,2023,Calstock Power Plant,Ontario,Other Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,459.5699,2433.241759,2442.360659
G10042,2023,Calstock Power Plant,Ontario,Other Electric Power Generation,Wastewater / Eaux usées,0,9.1189,2442.360659
G10044,2023,Canadian Fertilizers Limited,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Flaring / Torchage,19083,19180.8953,1710848.982
G10044,2023,Canadian Fertilizers Limited,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,823819.55,828048.5391,1710848.982
G10044,2023,Canadian Fertilizers Limited,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Industrial Processes / Procédés industriels,863134,863134,1710848.982
G10044,2023,Canadian Fertilizers Limited,Alberta,Chemical Fertilizer (except Potash) Manufacturing,On-site Transportation / Transport sur le site,483.8724,485.5476,1710848.982
G10045,2023,Cancarb Ltd.,Alberta,All Other Basic Inorganic Chemical Manufacturing,Leakage / Fuites,0,214.0852,136774.442
G10045,2023,Cancarb Ltd.,Alberta,All Other Basic Inorganic Chemical Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,88586.3083,88881.1981,136774.442
G10045,2023,Cancarb Ltd.,Alberta,All Other Basic Inorganic Chemical Manufacturing,Industrial Processes / Procédés industriels,47568.2928,47571.8648,136774.442
G10045,2023,Cancarb Ltd.,Alberta,All Other Basic Inorganic Chemical Manufacturing,On-site Transportation / Transport sur le site,60.471,61.2759,136774.442
G10045,2023,Cancarb Ltd.,Alberta,All Other Basic Inorganic Chemical Manufacturing,Venting / Évacuation,0,46.018,136774.442
G10046,2023,"TransCanada Pipeline, Alberta System",Alberta,Pipeline Transportation of Natural Gas,Flaring / Torchage,10692.437,12828.395,4785276.378
G10046,2023,"TransCanada Pipeline, Alberta System",Alberta,Pipeline Transportation of Natural Gas,Leakage / Fuites,35.696,53680.056,4785276.378
G10046,2023,"TransCanada Pipeline, Alberta System",Alberta,Pipeline Transportation of Natural Gas,Stationary Fuel Combustion / Combustion stationnaire de combustibles,4448445.641,4488803.05,4785276.378
G10046,2023,"TransCanada Pipeline, Alberta System",Alberta,Pipeline Transportation of Natural Gas,Venting / Évacuation,139.925,229964.877,4785276.378
G10047,2023,Cardinal Power,Ontario,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,31110.25,31469.77863,31469.77863
G10048,2023,Cariboo Pulp and Paper Company,British Columbia,Chemical Pulp Mills,Stationary Fuel Combustion / Combustion stationnaire de combustibles,101430.503,109327.741,112279.8883
G10048,2023,Cariboo Pulp and Paper Company,British Columbia,Chemical Pulp Mills,Industrial Processes / Procédés industriels,75.84,75.84,112279.8883
G10048,2023,Cariboo Pulp and Paper Company,British Columbia,Chemical Pulp Mills,On-site Transportation / Transport sur le site,2763.8706,2876.30738,112279.8883
G10049,2023,Caribou North Comp Stn 11-08,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.09967,160.97003,30087.20424
G10049,2023,Caribou North Comp Stn 11-08,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,25299.373,28140.02366,30087.20424
G10049,2023,Caribou North Comp Stn 11-08,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.96947,1786.21055,30087.20424
G10052,2023,Carol Project,Newfoundland and Labrador,Iron Ore Mining,Stationary Fuel Combustion / Combustion stationnaire de combustibles,504422.833,506521.0198,780515.9851
G10052,2023,Carol Project,Newfoundland and Labrador,Iron Ore Mining,Industrial Processes / Procédés industriels,129810.756,129810.756,780515.9851
G10052,2023,Carol Project,Newfoundland and Labrador,Iron Ore Mining,On-site Transportation / Transport sur le site,140977.403,144184.2093,780515.9851
G10053,2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Flaring / Torchage,1900.16,1984.84968,557227.0958
G10053,2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Leakage / Fuites,1.209,2503.569,557227.0958
G10053,2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,456673.378,459055.9827,557227.0958
G10053,2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Industrial Processes / Procédés industriels,85749,85749,557227.0958
G10053,2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,On-site Transportation / Transport sur le site,978.797,1057.33839,557227.0958
G10053,2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Venting / Évacuation,5919.54,6872.1,557227.0958
G10053,2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Wastewater / Eaux usées,0,4.256,557227.0958
G10054,2023,Carseland Power Plant,Alberta,Fossil-Fuel Electric Power Generation,Leakage / Fuites,0.0127,16.9331,390233.6612
G10054,2023,Carseland Power Plant,Alberta,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,387182.0798,390183.8742,390233.6612
G10054,2023,Carseland Power Plant,Alberta,Fossil-Fuel Electric Power Generation,Venting / Évacuation,0.0267,32.8539,390233.6612
G10055,2023,Orica Carseland,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,260.4096,261.7658,36331.1794
G10055,2023,Orica Carseland,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Industrial Processes / Procédés industriels,0,35836.8775,36331.1794
G10055,2023,Orica Carseland,Alberta,Chemical Fertilizer (except Potash) Manufacturing,On-site Transportation / Transport sur le site,228.0634,232.5361,36331.1794
G10057,2023,Ingredion Canada Incorporated - London Plant,Ontario,Wet Corn Milling,Stationary Fuel Combustion / Combustion stationnaire de combustibles,128719.78,129382.2692,129382.2692
G10058,2023,Cavalier Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Leakage / Fuites,0.0328,224.5732,296003.51
G10058,2023,Cavalier Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,293633.0175,295778.9368,296003.51
G10059,2023,Cavendish Farms,Prince Edward Island,Frozen Food Manufacturing,Flaring / Torchage,1139,1238.222042,50131.05519
G10059,2023,Cavendish Farms,Prince Edward Island,Frozen Food Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,47233,47470.4704,50131.05519
G10059,2023,Cavendish Farms,Prince Edward Island,Frozen Food Manufacturing,Wastewater / Eaux usées,0,1422.362747,50131.05519
G10060,2023,Co-op Refinery Complex,Saskatchewan,Petroleum Refineries,Flaring / Torchage,19709.552,20112.984,1874846.224
G10060,2023,Co-op Refinery Complex,Saskatchewan,Petroleum Refineries,Leakage / Fuites,0,993.44,1874846.224
G10060,2023,Co-op Refinery Complex,Saskatchewan,Petroleum Refineries,Stationary Fuel Combustion / Combustion stationnaire de combustibles,1054139.132,1063140.231,1874846.224
G10060,2023,Co-op Refinery Complex,Saskatchewan,Petroleum Refineries,Venting / Évacuation,783343.019,784631.349,1874846.224
G10060,2023,Co-op Refinery Complex,Saskatchewan,Petroleum Refineries,Wastewater / Eaux usées,0,5968.22,1874846.224
G10061,2023,Centrale de Cap-aux-Meules,Quebec,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,129631.514,130375.6824,130375.6824
G10064,2023,Chimie Parachem s.e.c,Quebec,Petrochemical Manufacturing,Flaring / Torchage,210.853,229.2259,170370.7182
G10064,2023,Chimie Parachem s.e.c,Quebec,Petrochemical Manufacturing,Leakage / Fuites,0,89.4908,170370.7182
G10064,2023,Chimie Parachem s.e.c,Quebec,Petrochemical Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,168762.969,169305.6095,170370.7182
G10064,2023,Chimie Parachem s.e.c,Quebec,Petrochemical Manufacturing,Industrial Processes / Procédés industriels,746.392,746.392,170370.7182
G10065,2023,Christina Lake SAGD Bitumen Battery,Alberta,In-situ oil sands extraction,Flaring / Torchage,10509.8663,12246.25236,3887278.132
G10065,2023,Christina Lake SAGD Bitumen Battery,Alberta,In-situ oil sands extraction,Leakage / Fuites,9.78692,3418.23028,3887278.132
G10065,2023,Christina Lake SAGD Bitumen Battery,Alberta,In-situ oil sands extraction,Stationary Fuel Combustion / Combustion stationnaire de combustibles,3849448.492,3861518.954,3887278.132
G10065,2023,Christina Lake SAGD Bitumen Battery,Alberta,In-situ oil sands extraction,On-site Transportation / Transport sur le site,8670.216,8810.928,3887278.132
G10065,2023,Christina Lake SAGD Bitumen Battery,Alberta,In-situ oil sands extraction,Venting / Évacuation,3.69363,1283.76683,3887278.132
G10066,2023,Cimenterie de Saint-Basile,Quebec,Cement Manufacturing,Leakage / Fuites,0,280,731376.2854
G10066,2023,Cimenterie de Saint-Basile,Quebec,Cement Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,204976,205679.6789,731376.2854
G10066,2023,Cimenterie de Saint-Basile,Quebec,Cement Manufacturing,Industrial Processes / Procédés industriels,521805.5546,521805.5546,731376.2854
G10066,2023,Cimenterie de Saint-Basile,Quebec,Cement Manufacturing,On-site Transportation / Transport sur le site,3262.4,3611.0519,731376.2854
G10067,2023,Cimenterie de Saint-Constant,Quebec,Cement Manufacturing,Leakage / Fuites,285.6,604.8,678872.1191
G10067,2023,Cimenterie de Saint-Constant,Quebec,Cement Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,287869.3,291855.9908,678872.1191
G10067,2023,Cimenterie de Saint-Constant,Quebec,Cement Manufacturing,Industrial Processes / Procédés industriels,384710.2526,384710.2526,678872.1191
G10067,2023,Cimenterie de Saint-Constant,Quebec,Cement Manufacturing,On-site Transportation / Transport sur le site,1536.86,1701.0757,678872.1191
G10068,2023,Electric Utility - Generation,Alberta,Fossil-Fuel Electric Power Generation,Leakage / Fuites,2.495282,4414.365402,541124.343
G10068,2023,Electric Utility - Generation,Alberta,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,531661.8023,536285.2379,541124.343
G10068,2023,Electric Utility - Generation,Alberta,Fossil-Fuel Electric Power Generation,Industrial Processes / Procédés industriels,0,417.014,541124.343
G10068,2023,Electric Utility - Generation,Alberta,Fossil-Fuel Electric Power Generation,Venting / Évacuation,0.004377,7.725713,541124.343
G10069,2023,Clover Bar Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Leakage / Fuites,0.1374,279.5774,365936.048
G10069,2023,Clover Bar Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,362986.4426,365649.1586,365936.048
G10069,2023,Clover Bar Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Venting / Évacuation,0.004,7.312,365936.048
G10071,2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,1766.02507,2065.97696,468991.5908
G10071,2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.00321,882.17737,468991.5908
G10071,2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,424779.9161,428400.1374,468991.5908
G10071,2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),Industrial Processes / Procédés industriels,0,3434.273,468991.5908
G10071,2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,115.633,116.01,468991.5908
G10071,2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,30445.94275,34093.01611,468991.5908
G10073,2023,Cold Lake,Alberta,In-situ oil sands extraction,Flaring / Torchage,21437.884,23669.0767,5710424.802
G10073,2023,Cold Lake,Alberta,In-situ oil sands extraction,Leakage / Fuites,10.0678,911.861,5710424.802
